code_id|dtc_code|system_category|is_oem_specific|oem_make|fault_family|short_description|detailed_technical_explanation|fix_id|fix_title|probability_rank|difficulty_level|est_parts_cost_min_usd|est_parts_cost_max_usd|est_labor_hours|step_by_step_instructions
228|C0040|Chassis|0||brake_pedal_switch_stop_lamp_circuit|Brake Pedal Switch A|Code C0040 (Brake Pedal Switch A) sets when the module sees an implausible state from the brake pedal switch(es) that both illuminate the stop lamps and tell the ABS/cruise/shift-interlock systems the brake pedal is applied -- the switch stays closed, stays open, or the two redundant switch channels disagree with each other. A misadjusted switch plunger, a worn switch contact, or corrosion at the switch connector near the pedal bracket are the common causes. Because this switch also feeds the stop lamps and brake-transmission shift interlock, a fault here can cause symptoms well beyond ABS, from stuck-on brake lights to a shifter that will not release from Park.|911|Replace brake pedal switch|3|Moderate DIY|15.0|60.0|0.5|Disconnect the battery negative terminal • Rotate and remove the switch from the pedal bracket • Install the replacement switch and adjust plunger clearance to spec • Clear codes and confirm correct stop lamp and brake-applied signal operation
228|C0040|Chassis|0||brake_pedal_switch_stop_lamp_circuit|Brake Pedal Switch A|Code C0040 (Brake Pedal Switch A) sets when the module sees an implausible state from the brake pedal switch(es) that both illuminate the stop lamps and tell the ABS/cruise/shift-interlock systems the brake pedal is applied -- the switch stays closed, stays open, or the two redundant switch channels disagree with each other. A misadjusted switch plunger, a worn switch contact, or corrosion at the switch connector near the pedal bracket are the common causes. Because this switch also feeds the stop lamps and brake-transmission shift interlock, a fault here can cause symptoms well beyond ABS, from stuck-on brake lights to a shifter that will not release from Park.|912|Repair stop lamp/brake switch circuit wiring|4|Professional Required|15.0|60.0|1.0|Trace the harness from the switch to the module and stop lamp fuse • Check for chafing near the pedal bracket and steering column • Repair with solder and heat-shrink where damaged • Verify both switch channels and stop lamps function correctly
684|P0011|Powertrain|0||vvt_timing_performance|A Camshaft Position - Timing Over-Advanced or System Performance Bank 1|Code P0011 (A Camshaft Position - Timing Over-Advanced or System Performance Bank 1) sets when a camshaft phaser reaches a timing position beyond commanded limits or becomes stuck rather than responding to duty-cycle commands. Root causes are sludge or low oil pressure starving the phaser, a worn phaser with excessive internal slack, a stuck oil control valve, or a mis-timed chain/belt from prior service.|2710|Change engine oil and filter to spec viscosity|1|Easy DIY|25.0|60.0|0.5|1. Drain and inspect oil condition for sludge or debris • 2. Replace with OEM-viscosity oil and a new filter • 3. Clear codes and run a phaser sweep test with a scan tool • 4. Road test through varied load to confirm stable timing
684|P0011|Powertrain|0||vvt_timing_performance|A Camshaft Position - Timing Over-Advanced or System Performance Bank 1|Code P0011 (A Camshaft Position - Timing Over-Advanced or System Performance Bank 1) sets when a camshaft phaser reaches a timing position beyond commanded limits or becomes stuck rather than responding to duty-cycle commands. Root causes are sludge or low oil pressure starving the phaser, a worn phaser with excessive internal slack, a stuck oil control valve, or a mis-timed chain/belt from prior service.|2711|Replace oil control valve and clean phaser feed passage|2|Moderate DIY|35.0|160.0|1.3|1. Remove the OCV solenoid and inspect its filter screen • 2. Clean the oil feed passage to the phaser of sludge with solvent and compressed air • 3. Install a new OCV solenoid • 4. Clear adaptive learning and verify timing response
684|P0011|Powertrain|0||vvt_timing_performance|A Camshaft Position - Timing Over-Advanced or System Performance Bank 1|Code P0011 (A Camshaft Position - Timing Over-Advanced or System Performance Bank 1) sets when a camshaft phaser reaches a timing position beyond commanded limits or becomes stuck rather than responding to duty-cycle commands. Root causes are sludge or low oil pressure starving the phaser, a worn phaser with excessive internal slack, a stuck oil control valve, or a mis-timed chain/belt from prior service.|2712|Replace worn camshaft phaser assembly|3|Professional Required|180.0|550.0|2.8|1. Set the engine to TDC and lock the timing chain • 2. Remove the worn phaser and inspect the chain/tensioner for related wear • 3. Install the new phaser and retime to factory marks • 4. Verify actuator sweep and clear codes
684|P0011|Powertrain|0||vvt_timing_performance|A Camshaft Position - Timing Over-Advanced or System Performance Bank 1|Code P0011 (A Camshaft Position - Timing Over-Advanced or System Performance Bank 1) sets when a camshaft phaser reaches a timing position beyond commanded limits or becomes stuck rather than responding to duty-cycle commands. Root causes are sludge or low oil pressure starving the phaser, a worn phaser with excessive internal slack, a stuck oil control valve, or a mis-timed chain/belt from prior service.|2713|Correct timing chain/belt installation|4|Professional Required|150.0|900.0|3.5|1. Remove the timing cover and verify marks against factory specification • 2. Correct any tooth-count misalignment on the chain or belt • 3. Replace the tensioner and guides while accessed • 4. Confirm cam/crank correlation and phaser response
689|P0016|Powertrain|0||crank_cam_correlation|Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A|Code P0016 (Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A) sets when the ECM compares crankshaft and camshaft position signals and finds their relative timing outside the expected window, or cannot establish a stable engine position sync. This is most often caused by timing chain/belt stretch or a jumped tooth, a failing crankshaft or camshaft position sensor, worn tensioner/guides, or reluctor-wheel damage.|2729|Inspect and replace crankshaft/camshaft position sensor|1|Moderate DIY|25.0|90.0|0.8|1. Identify which sensor the correlation fault points to on the scan tool freeze frame • 2. Unplug and remove the affected position sensor • 3. Inspect the reluctor wheel/tone ring for chips or debris • 4. Install the new sensor with correct air-gap shim and clear codes
689|P0016|Powertrain|0||crank_cam_correlation|Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A|Code P0016 (Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A) sets when the ECM compares crankshaft and camshaft position signals and finds their relative timing outside the expected window, or cannot establish a stable engine position sync. This is most often caused by timing chain/belt stretch or a jumped tooth, a failing crankshaft or camshaft position sensor, worn tensioner/guides, or reluctor-wheel damage.|2730|Inspect timing chain/belt for stretch or jumped timing|2|Professional Required|150.0|900.0|3.5|1. Remove the timing cover and verify cam-to-crank alignment against factory timing marks • 2. Measure chain stretch or check belt tooth wear • 3. Replace the timing chain/belt, tensioner, and guides as a set • 4. Reset timing to factory marks and verify correlation with a scan tool
689|P0016|Powertrain|0||crank_cam_correlation|Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A|Code P0016 (Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A) sets when the ECM compares crankshaft and camshaft position signals and finds their relative timing outside the expected window, or cannot establish a stable engine position sync. This is most often caused by timing chain/belt stretch or a jumped tooth, a failing crankshaft or camshaft position sensor, worn tensioner/guides, or reluctor-wheel damage.|2731|Repair crank/cam sensor wiring and connectors|3|Professional Required|10.0|60.0|1.2|1. Back-probe the sensor signal and ground at each connector while cranking • 2. Voltage-drop test the harness runs back to the ECM • 3. Repair chafed conductors near the timing cover with heat-shrink splices • 4. Confirm clean square-wave signals on a scope
924|P0101|Powertrain|0||maf_circuit|Mass or Volume Air Flow Sensor A Circuit Range/Performance|Code P0101 (Mass or Volume Air Flow Sensor A Circuit Range/Performance) sets when the ECM detects an implausible signal from the mass air flow sensor — reported airflow disagrees with throttle position and engine speed, or the signal voltage leaves its calibrated window. The most common physical causes are a contaminated MAF sensing element, unmetered air entering the intake downstream of the sensor, and chafed or corroded wiring in the sensor's 5V reference / signal-return circuit.|3481|Clean MAF sensing element and inspect intake ducting|1|Easy DIY|8.0|20.0|0.3|1. Remove the intake duct clamp and unplug the MAF connector • 2. Remove the sensor with a security Torx bit • 3. Spray the hot-wire element with dedicated MAF cleaner (never touch it) • 4. Inspect the duct for cracks or loose clamps downstream of the sensor • 5. Reinstall, clear the code, and road test
924|P0101|Powertrain|0||maf_circuit|Mass or Volume Air Flow Sensor A Circuit Range/Performance|Code P0101 (Mass or Volume Air Flow Sensor A Circuit Range/Performance) sets when the ECM detects an implausible signal from the mass air flow sensor — reported airflow disagrees with throttle position and engine speed, or the signal voltage leaves its calibrated window. The most common physical causes are a contaminated MAF sensing element, unmetered air entering the intake downstream of the sensor, and chafed or corroded wiring in the sensor's 5V reference / signal-return circuit.|3482|Replace mass air flow sensor|2|Moderate DIY|45.0|220.0|0.5|1. Disconnect the battery negative terminal • 2. Unplug the MAF harness connector and remove the sensor screws • 3. Install the replacement sensor without touching the element • 4. Reconnect and perform an ECU idle relearn if the platform requires it
924|P0101|Powertrain|0||maf_circuit|Mass or Volume Air Flow Sensor A Circuit Range/Performance|Code P0101 (Mass or Volume Air Flow Sensor A Circuit Range/Performance) sets when the ECM detects an implausible signal from the mass air flow sensor — reported airflow disagrees with throttle position and engine speed, or the signal voltage leaves its calibrated window. The most common physical causes are a contaminated MAF sensing element, unmetered air entering the intake downstream of the sensor, and chafed or corroded wiring in the sensor's 5V reference / signal-return circuit.|3483|Repair intake air leak downstream of MAF|3|Moderate DIY|10.0|60.0|1.0|1. Smoke-test or spray-test the intake tract between the MAF and throttle body • 2. Replace cracked intake boots and hardened couplers • 3. Torque all clamps and verify fuel trims return toward 0% at idle
924|P0101|Powertrain|0||maf_circuit|Mass or Volume Air Flow Sensor A Circuit Range/Performance|Code P0101 (Mass or Volume Air Flow Sensor A Circuit Range/Performance) sets when the ECM detects an implausible signal from the mass air flow sensor — reported airflow disagrees with throttle position and engine speed, or the signal voltage leaves its calibrated window. The most common physical causes are a contaminated MAF sensing element, unmetered air entering the intake downstream of the sensor, and chafed or corroded wiring in the sensor's 5V reference / signal-return circuit.|3484|Diagnose and repair MAF circuit wiring|4|Professional Required|5.0|40.0|1.5|1. Back-probe the 5V reference, signal, and ground at the MAF connector • 2. Perform a voltage-drop test on each leg back to the ECM • 3. Repair chafed conductors with solder and heat-shrink • 4. Confirm live airflow (g/s) tracks RPM on a scan tool
925|P0102|Powertrain|0||maf_circuit|Mass or Volume Air Flow Sensor A Circuit Low|Code P0102 (Mass or Volume Air Flow Sensor A Circuit Low) sets when the ECM detects an implausible signal from the mass air flow sensor — reported airflow disagrees with throttle position and engine speed, or the signal voltage leaves its calibrated window. The most common physical causes are a contaminated MAF sensing element, unmetered air entering the intake downstream of the sensor, and chafed or corroded wiring in the sensor's 5V reference / signal-return circuit.|3485|Clean MAF sensing element and inspect intake ducting|1|Easy DIY|8.0|20.0|0.3|1. Remove the intake duct clamp and unplug the MAF connector • 2. Remove the sensor with a security Torx bit • 3. Spray the hot-wire element with dedicated MAF cleaner (never touch it) • 4. Inspect the duct for cracks or loose clamps downstream of the sensor • 5. Reinstall, clear the code, and road test
925|P0102|Powertrain|0||maf_circuit|Mass or Volume Air Flow Sensor A Circuit Low|Code P0102 (Mass or Volume Air Flow Sensor A Circuit Low) sets when the ECM detects an implausible signal from the mass air flow sensor — reported airflow disagrees with throttle position and engine speed, or the signal voltage leaves its calibrated window. The most common physical causes are a contaminated MAF sensing element, unmetered air entering the intake downstream of the sensor, and chafed or corroded wiring in the sensor's 5V reference / signal-return circuit.|3486|Replace mass air flow sensor|2|Moderate DIY|45.0|220.0|0.5|1. Disconnect the battery negative terminal • 2. Unplug the MAF harness connector and remove the sensor screws • 3. Install the replacement sensor without touching the element • 4. Reconnect and perform an ECU idle relearn if the platform requires it
925|P0102|Powertrain|0||maf_circuit|Mass or Volume Air Flow Sensor A Circuit Low|Code P0102 (Mass or Volume Air Flow Sensor A Circuit Low) sets when the ECM detects an implausible signal from the mass air flow sensor — reported airflow disagrees with throttle position and engine speed, or the signal voltage leaves its calibrated window. The most common physical causes are a contaminated MAF sensing element, unmetered air entering the intake downstream of the sensor, and chafed or corroded wiring in the sensor's 5V reference / signal-return circuit.|3487|Repair intake air leak downstream of MAF|3|Moderate DIY|10.0|60.0|1.0|1. Smoke-test or spray-test the intake tract between the MAF and throttle body • 2. Replace cracked intake boots and hardened couplers • 3. Torque all clamps and verify fuel trims return toward 0% at idle
925|P0102|Powertrain|0||maf_circuit|Mass or Volume Air Flow Sensor A Circuit Low|Code P0102 (Mass or Volume Air Flow Sensor A Circuit Low) sets when the ECM detects an implausible signal from the mass air flow sensor — reported airflow disagrees with throttle position and engine speed, or the signal voltage leaves its calibrated window. The most common physical causes are a contaminated MAF sensing element, unmetered air entering the intake downstream of the sensor, and chafed or corroded wiring in the sensor's 5V reference / signal-return circuit.|3488|Diagnose and repair MAF circuit wiring|4|Professional Required|5.0|40.0|1.5|1. Back-probe the 5V reference, signal, and ground at the MAF connector • 2. Perform a voltage-drop test on each leg back to the ECM • 3. Repair chafed conductors with solder and heat-shrink • 4. Confirm live airflow (g/s) tracks RPM on a scan tool
929|P0106|Powertrain|0||map_sensor_circuit|Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Range/Performance|Code P0106 (Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Range/Performance) sets when the ECM sees an open, shorted, or implausible voltage from the MAP/barometric pressure sensor circuit, or the reading is simply too low for the current altitude. Causes are a cracked or oil-fouled vacuum port, a failed sensor element, or damaged sensor wiring.|3500|Inspect and clean MAP sensor vacuum port|1|Easy DIY|5.0|20.0|0.5|1. Locate the MAP sensor on the intake manifold • 2. Remove and inspect the vacuum port for oil or debris • 3. Clean the port and sensor housing • 4. Reinstall and clear codes
929|P0106|Powertrain|0||map_sensor_circuit|Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Range/Performance|Code P0106 (Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Range/Performance) sets when the ECM sees an open, shorted, or implausible voltage from the MAP/barometric pressure sensor circuit, or the reading is simply too low for the current altitude. Causes are a cracked or oil-fouled vacuum port, a failed sensor element, or damaged sensor wiring.|3501|Replace MAP/barometric pressure sensor|2|Easy DIY|20.0|90.0|0.4|1. Unplug the sensor connector • 2. Remove the sensor from the manifold or its remote mount • 3. Install the replacement sensor with a new O-ring • 4. Clear codes and verify reading against known altitude/barometric baseline
929|P0106|Powertrain|0||map_sensor_circuit|Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Range/Performance|Code P0106 (Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Range/Performance) sets when the ECM sees an open, shorted, or implausible voltage from the MAP/barometric pressure sensor circuit, or the reading is simply too low for the current altitude. Causes are a cracked or oil-fouled vacuum port, a failed sensor element, or damaged sensor wiring.|3502|Repair MAP sensor circuit wiring|3|Professional Required|10.0|60.0|1.2|1. Back-probe the 5V reference, signal, and ground at the connector • 2. Voltage-drop test each leg back to the ECM • 3. Repair chafed or corroded conductors with heat-shrink splices • 4. Confirm signal tracks vacuum/boost changes smoothly
942|P0113|Powertrain|0||iat_sensor_circuit|Intake Air Temperature Sensor 1 Circuit High Bank 1|Code P0113 (Intake Air Temperature Sensor 1 Circuit High Bank 1) sets when the ECM sees an open, shorted, or implausible resistance from an intake air temperature sensor (any position/bank), or a correlation mismatch against a related ambient or fuel temperature signal. Causes are a corroded connector, a failed thermistor element, or chafed harness wiring near the intake tract.|3545|Inspect and clean IAT sensor connector|1|Easy DIY|5.0|15.0|0.4|1. Locate the IAT sensor in the intake tube or integrated into the MAF housing • 2. Unplug and inspect for corrosion or debris • 3. Clean contacts and apply dielectric grease • 4. Reconnect and clear codes
942|P0113|Powertrain|0||iat_sensor_circuit|Intake Air Temperature Sensor 1 Circuit High Bank 1|Code P0113 (Intake Air Temperature Sensor 1 Circuit High Bank 1) sets when the ECM sees an open, shorted, or implausible resistance from an intake air temperature sensor (any position/bank), or a correlation mismatch against a related ambient or fuel temperature signal. Causes are a corroded connector, a failed thermistor element, or chafed harness wiring near the intake tract.|3546|Replace intake air temperature sensor|2|Easy DIY|10.0|50.0|0.4|1. Locate the affected IAT sensor per the bank/position in the code • 2. Disconnect and remove the sensor from its bore • 3. Install the replacement sensor with a new seal • 4. Clear codes and verify reading tracks ambient at cold start
942|P0113|Powertrain|0||iat_sensor_circuit|Intake Air Temperature Sensor 1 Circuit High Bank 1|Code P0113 (Intake Air Temperature Sensor 1 Circuit High Bank 1) sets when the ECM sees an open, shorted, or implausible resistance from an intake air temperature sensor (any position/bank), or a correlation mismatch against a related ambient or fuel temperature signal. Causes are a corroded connector, a failed thermistor element, or chafed harness wiring near the intake tract.|3547|Repair IAT sensor circuit wiring|3|Professional Required|10.0|55.0|1.1|1. Measure sensor resistance at the connector against a temperature/resistance chart • 2. Voltage-drop test the circuit back to the ECM • 3. Repair chafed or corroded wiring near the intake tract with heat-shrink splices • 4. Confirm stable readings across temperature swings
943|P0114|Powertrain|0||iat_sensor_circuit|Intake Air Temperature Sensor 1 Circuit Intermittent Bank 1|Code P0114 (Intake Air Temperature Sensor 1 Circuit Intermittent Bank 1) sets when the ECM sees an open, shorted, or implausible resistance from an intake air temperature sensor (any position/bank), or a correlation mismatch against a related ambient or fuel temperature signal. Causes are a corroded connector, a failed thermistor element, or chafed harness wiring near the intake tract.|3548|Inspect and clean IAT sensor connector|1|Easy DIY|5.0|15.0|0.4|1. Locate the IAT sensor in the intake tube or integrated into the MAF housing • 2. Unplug and inspect for corrosion or debris • 3. Clean contacts and apply dielectric grease • 4. Reconnect and clear codes
943|P0114|Powertrain|0||iat_sensor_circuit|Intake Air Temperature Sensor 1 Circuit Intermittent Bank 1|Code P0114 (Intake Air Temperature Sensor 1 Circuit Intermittent Bank 1) sets when the ECM sees an open, shorted, or implausible resistance from an intake air temperature sensor (any position/bank), or a correlation mismatch against a related ambient or fuel temperature signal. Causes are a corroded connector, a failed thermistor element, or chafed harness wiring near the intake tract.|3549|Replace intake air temperature sensor|2|Easy DIY|10.0|50.0|0.4|1. Locate the affected IAT sensor per the bank/position in the code • 2. Disconnect and remove the sensor from its bore • 3. Install the replacement sensor with a new seal • 4. Clear codes and verify reading tracks ambient at cold start
943|P0114|Powertrain|0||iat_sensor_circuit|Intake Air Temperature Sensor 1 Circuit Intermittent Bank 1|Code P0114 (Intake Air Temperature Sensor 1 Circuit Intermittent Bank 1) sets when the ECM sees an open, shorted, or implausible resistance from an intake air temperature sensor (any position/bank), or a correlation mismatch against a related ambient or fuel temperature signal. Causes are a corroded connector, a failed thermistor element, or chafed harness wiring near the intake tract.|3550|Repair IAT sensor circuit wiring|3|Professional Required|10.0|55.0|1.1|1. Measure sensor resistance at the connector against a temperature/resistance chart • 2. Voltage-drop test the circuit back to the ECM • 3. Repair chafed or corroded wiring near the intake tract with heat-shrink splices • 4. Confirm stable readings across temperature swings
947|P0118|Powertrain|0||ect_sensor_circuit|Engine Coolant Temperature Sensor 1 Circuit High|Code P0118 (Engine Coolant Temperature Sensor 1 Circuit High) sets when the ECM sees an open, shorted, or implausible resistance from an engine or radiator coolant temperature sensor, or a correlation mismatch between redundant coolant/oil/ambient temperature signals. Causes are a corroded connector, a failed thermistor element, low coolant exposing the sensor tip, or chafed wiring.|3560|Top off coolant and inspect ECT sensor connector|1|Easy DIY|10.0|30.0|0.4|1. Check coolant level and top off with the correct spec coolant • 2. Unplug the ECT sensor connector and inspect for corrosion • 3. Clean contacts and reconnect • 4. Clear codes and monitor warm-up temperature curve
947|P0118|Powertrain|0||ect_sensor_circuit|Engine Coolant Temperature Sensor 1 Circuit High|Code P0118 (Engine Coolant Temperature Sensor 1 Circuit High) sets when the ECM sees an open, shorted, or implausible resistance from an engine or radiator coolant temperature sensor, or a correlation mismatch between redundant coolant/oil/ambient temperature signals. Causes are a corroded connector, a failed thermistor element, low coolant exposing the sensor tip, or chafed wiring.|3561|Replace engine/radiator coolant temperature sensor|2|Moderate DIY|15.0|70.0|0.6|1. Relieve cooling system pressure and drain coolant to below sensor level • 2. Remove the sensor from the head, housing, or radiator tank • 3. Install the replacement sensor with sealant or new seal as specified • 4. Refill coolant, bleed air, and clear codes
