code_id|dtc_code|system_category|is_oem_specific|oem_make|fault_family|short_description|detailed_technical_explanation
947|P0118|Powertrain|0||ect_sensor_circuit|Engine Coolant Temperature Sensor 1 Circuit High|Code P0118 (Engine Coolant Temperature Sensor 1 Circuit High) sets when the ECM sees an open, shorted, or implausible resistance from an engine or radiator coolant temperature sensor, or a correlation mismatch between redundant coolant/oil/ambient temperature signals. Causes are a corroded connector, a failed thermistor element, low coolant exposing the sensor tip, or chafed wiring.
956|P0121|Powertrain|0||throttle_position_sensor_circuit|Throttle/Pedal Position Sensor/Switch A Circuit Range/Performance|Code P0121 (Throttle/Pedal Position Sensor/Switch A Circuit Range/Performance) sets when the ECM detects an open, shorted, or out-of-range voltage, or an implausible rate of change, from a throttle body or accelerator pedal position sensor channel. Causes are a worn sensor track, a corroded connector, or chafed wiring between the sensor and the ECM.
963|P0128|Powertrain|0||coolant_thermostat_performance|Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature)|Code P0128 (Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature)) sets when engine coolant fails to reach or maintain its regulating temperature within the expected time, or coolant flow/circulation is judged insufficient. Causes are a thermostat stuck open, a low coolant level, a failing water pump, or a chronically cold operating condition combined with a stuck-open thermostat.
972|P0131|Powertrain|0||o2_sensor_circuit|O2 Sensor Circuit Low Voltage Bank 1 Sensor 1|Code P0131 (O2 Sensor Circuit Low Voltage Bank 1 Sensor 1) sets when the ECM sees an open circuit, a stuck/biased voltage, or no signal activity from an oxygen sensor's signal circuit. Causes are a contaminated or worn-out sensor element, an exhaust leak near the sensor bung skewing readings, or damaged sensor wiring.
974|P0133|Powertrain|0||o2_sensor_slow_response|O2 Sensor Circuit Slow Response Bank 1 Sensor 1|Code P0133 (O2 Sensor Circuit Slow Response Bank 1 Sensor 1) sets when an oxygen sensor takes longer than the calibrated time to transition between rich and lean voltage states. This is typically a sensor element that has aged or been contaminated by silicone, oil ash, or coolant, though an exhaust leak that dilutes the sample can also slow the switching response.
976|P0135|Powertrain|0||o2_heater_circuit|O2 Sensor Heater Circuit Bank 1 Sensor 1|Code P0135 (O2 Sensor Heater Circuit Bank 1 Sensor 1) sets when the ECM detects an open, shorted, or out-of-spec resistance in the internal heater element of an oxygen sensor, or the heater fails to bring the sensor to operating temperature within the expected time. This is almost always a degraded heater element inside the O2 sensor itself, though a blown fuse, relay, or chafed heater wiring can also be responsible.
979|P0138|Powertrain|0||o2_sensor_circuit|O2 Sensor Circuit High Voltage Bank 1 Sensor 2|Code P0138 (O2 Sensor Circuit High Voltage Bank 1 Sensor 2) sets when the ECM sees an open circuit, a stuck/biased voltage, or no signal activity from an oxygen sensor's signal circuit. Causes are a contaminated or worn-out sensor element, an exhaust leak near the sensor bung skewing readings, or damaged sensor wiring.
988|P0141|Powertrain|0||o2_heater_circuit|O2 Sensor Heater Circuit Bank 1 Sensor 2|Code P0141 (O2 Sensor Heater Circuit Bank 1 Sensor 2) sets when the ECM detects an open, shorted, or out-of-spec resistance in the internal heater element of an oxygen sensor, or the heater fails to bring the sensor to operating temperature within the expected time. This is almost always a degraded heater element inside the O2 sensor itself, though a blown fuse, relay, or chafed heater wiring can also be responsible.
1036|P0171|Powertrain|0||fuel_trim_lean|System Too Lean Bank 1|Code P0171 (System Too Lean Bank 1) sets when the ECM must add more fuel than the calibrated limit allows to correct a lean condition on the indicated bank. The leading causes are a vacuum or intake air leak downstream of the MAF, a weak fuel pump or clogged filter, or a leaking exhaust manifold gasket confusing the upstream O2 sensor.
1037|P0172|Powertrain|0||fuel_trim_rich|System Too Rich Bank 1|Code P0172 (System Too Rich Bank 1) sets when the ECM must remove more fuel than the calibrated limit allows to correct a rich condition on the indicated bank. Leading causes are a leaking fuel injector, a stuck-open fuel pressure regulator, a fouled MAF sensor overreporting airflow, or a failing fuel pressure sensor.
1039|P0174|Powertrain|0||fuel_trim_lean|System Too Lean Bank 2|Code P0174 (System Too Lean Bank 2) sets when the ECM must add more fuel than the calibrated limit allows to correct a lean condition on the indicated bank. The leading causes are a vacuum or intake air leak downstream of the MAF, a weak fuel pump or clogged filter, or a leaking exhaust manifold gasket confusing the upstream O2 sensor.
1040|P0175|Powertrain|0||fuel_trim_rich|System Too Rich Bank 2|Code P0175 (System Too Rich Bank 2) sets when the ECM must remove more fuel than the calibrated limit allows to correct a rich condition on the indicated bank. Leading causes are a leaking fuel injector, a stuck-open fuel pressure regulator, a fouled MAF sensor overreporting airflow, or a failing fuel pressure sensor.
1435|P0300|Powertrain|0||misfire_random_multiple|Random/Multiple Cylinder Misfire Detected|Code P0300 (Random/Multiple Cylinder Misfire Detected) sets when the ECM's crankshaft-acceleration misfire monitor counts combustion events across multiple cylinders (or an undifferentiated pattern) beyond the calibrated threshold, including variants triggered by a low fuel level, a cold-start window, or a commanded fuel cutoff. Because no single cylinder is isolated, the cause is almost always something that affects the whole engine at once: a vacuum leak, worn spark plugs across the set, a weak fuel pump/low fuel level, or a base ignition timing/reluctor fault.
1436|P0301|Powertrain|0||misfire_single_cylinder|Cylinder 1 Misfire Detected|Code P0301 (Cylinder 1 Misfire Detected) sets when the ECM's misfire monitor isolates repeated combustion events lost on one specific cylinder (or, for the unspecified variant, a single cylinder it cannot pin down). The diagnosis path is identical regardless of which cylinder number is reported: the fault lives in that cylinder's ignition, fuel delivery, or mechanical sealing, most commonly a fouled spark plug or failing coil, a clogged or leaking injector, or low compression from a burnt valve or worn rings.
1437|P0302|Powertrain|0||misfire_single_cylinder|Cylinder 2 Misfire Detected|Code P0302 (Cylinder 2 Misfire Detected) sets when the ECM's misfire monitor isolates repeated combustion events lost on one specific cylinder (or, for the unspecified variant, a single cylinder it cannot pin down). The diagnosis path is identical regardless of which cylinder number is reported: the fault lives in that cylinder's ignition, fuel delivery, or mechanical sealing, most commonly a fouled spark plug or failing coil, a clogged or leaking injector, or low compression from a burnt valve or worn rings.
1438|P0303|Powertrain|0||misfire_single_cylinder|Cylinder 3 Misfire Detected|Code P0303 (Cylinder 3 Misfire Detected) sets when the ECM's misfire monitor isolates repeated combustion events lost on one specific cylinder (or, for the unspecified variant, a single cylinder it cannot pin down). The diagnosis path is identical regardless of which cylinder number is reported: the fault lives in that cylinder's ignition, fuel delivery, or mechanical sealing, most commonly a fouled spark plug or failing coil, a clogged or leaking injector, or low compression from a burnt valve or worn rings.
1439|P0304|Powertrain|0||misfire_single_cylinder|Cylinder 4 Misfire Detected|Code P0304 (Cylinder 4 Misfire Detected) sets when the ECM's misfire monitor isolates repeated combustion events lost on one specific cylinder (or, for the unspecified variant, a single cylinder it cannot pin down). The diagnosis path is identical regardless of which cylinder number is reported: the fault lives in that cylinder's ignition, fuel delivery, or mechanical sealing, most commonly a fouled spark plug or failing coil, a clogged or leaking injector, or low compression from a burnt valve or worn rings.
1440|P0305|Powertrain|0||misfire_single_cylinder|Cylinder 5 Misfire Detected|Code P0305 (Cylinder 5 Misfire Detected) sets when the ECM's misfire monitor isolates repeated combustion events lost on one specific cylinder (or, for the unspecified variant, a single cylinder it cannot pin down). The diagnosis path is identical regardless of which cylinder number is reported: the fault lives in that cylinder's ignition, fuel delivery, or mechanical sealing, most commonly a fouled spark plug or failing coil, a clogged or leaking injector, or low compression from a burnt valve or worn rings.
1441|P0306|Powertrain|0||misfire_single_cylinder|Cylinder 6 Misfire Detected|Code P0306 (Cylinder 6 Misfire Detected) sets when the ECM's misfire monitor isolates repeated combustion events lost on one specific cylinder (or, for the unspecified variant, a single cylinder it cannot pin down). The diagnosis path is identical regardless of which cylinder number is reported: the fault lives in that cylinder's ignition, fuel delivery, or mechanical sealing, most commonly a fouled spark plug or failing coil, a clogged or leaking injector, or low compression from a burnt valve or worn rings.
1472|P0325|Powertrain|0||knock_sensor_circuit|Knock/Combustion Vibration Sensor A Circuit|Code P0325 (Knock/Combustion Vibration Sensor A Circuit) sets when the ECM detects an open circuit, out-of-range voltage, or a total loss of signal from a knock (combustion vibration) sensor used to retard timing and protect the engine from detonation, or when the overall knock control system itself reports an internal error. Physical causes are a failed piezoelectric sensor element, an improperly torqued sensor (knock sensors are torque-sensitive and read incorrectly if over- or under-tightened), or chafed/corroded wiring between the sensor and the ECM.
1488|P0335|Powertrain|0||crank_position_sensor_circuit|Crankshaft Position Sensor A Circuit|Code P0335 (Crankshaft Position Sensor A Circuit) sets when the ECM sees an open circuit, out-of-range voltage, no signal, or an erratic pulse pattern from a crankshaft position sensor (or, on older distributor-based ignition systems, the distributor's engine-speed pickup that serves the same function). Common causes are a sensor with too large an air gap to the reluctor wheel, metal debris bridging the sensor tip, a corroded connector, or chafed wiring between the sensor and the ECM.
1499|P0340|Powertrain|0||cam_position_sensor_circuit|Camshaft Position Sensor A Circuit Bank 1 or Single Sensor|Code P0340 (Camshaft Position Sensor A Circuit Bank 1 or Single Sensor) sets when the ECM sees an open circuit, out-of-range voltage, or an erratic signal from the primary camshaft position sensor used for cylinder identification and cam-to-crank correlation — distinct from a VVT phaser's own actuator-position feedback sensor. Common causes are a corroded connector, a worn or contaminated reluctor/trigger wheel on the camshaft, an incorrect air gap, or chafed wiring between the sensor and the ECM.
1500|P0341|Powertrain|0||cam_position_sensor_circuit|Camshaft Position Sensor A Circuit Range/Performance Bank 1 or Single Sensor|Code P0341 (Camshaft Position Sensor A Circuit Range/Performance Bank 1 or Single Sensor) sets when the ECM sees an open circuit, out-of-range voltage, or an erratic signal from the primary camshaft position sensor used for cylinder identification and cam-to-crank correlation — distinct from a VVT phaser's own actuator-position feedback sensor. Common causes are a corroded connector, a worn or contaminated reluctor/trigger wheel on the camshaft, an incorrect air gap, or chafed wiring between the sensor and the ECM.
1689|P0401|Powertrain|0||egr_flow_performance|EGR A Flow Insufficient Detected|Code P0401 (EGR A Flow Insufficient Detected) sets when the ECM commands a specific EGR flow rate (valve A or valve B on dual-EGR platforms) and the measured intake or exhaust response indicates the actual flow is significantly less or more than commanded. Insufficient flow is most often a carbon-clogged EGR passage, valve, or cooler; excessive flow points to a valve stuck partially open or a failed position sensor causing the ECM to over-command it.
1690|P0402|Powertrain|0||egr_flow_performance|EGR A Flow Excessive Detected|Code P0402 (EGR A Flow Excessive Detected) sets when the ECM commands a specific EGR flow rate (valve A or valve B on dual-EGR platforms) and the measured intake or exhaust response indicates the actual flow is significantly less or more than commanded. Insufficient flow is most often a carbon-clogged EGR passage, valve, or cooler; excessive flow points to a valve stuck partially open or a failed position sensor causing the ECM to over-command it.
1691|P0403|Powertrain|0||egr_control_circuit|EGR A Control Circuit/Open|Code P0403 (EGR A Control Circuit/Open) sets when the ECM detects an open circuit, out-of-range voltage, a learning-limit exceeded condition, or a mechanically stuck-open/stuck-closed report while driving an EGR control valve, an EGR throttle valve used to assist EGR flow, or the associated control processor. Causes are a failed EGR valve/throttle solenoid or motor, a corroded connector, carbon buildup mechanically jamming the valve, or damaged control wiring back to the ECM.
1705|P0411|Powertrain|0||secondary_air_injection_system|AIR System A Incorrect Flow Detected|Code P0411 (AIR System A Incorrect Flow Detected) sets when the ECM commands the secondary air injection system (used to inject fresh air into the exhaust during cold start to speed catalyst light-off and reduce emissions) and detects incorrect flow, an open/shorted switching valve circuit, or a control circuit fault. Causes are a seized or failed AIR pump, a stuck or corroded switching/check valve, a collapsed or leaking air delivery hose, or damaged wiring to the pump/valve.
1720|P0420|Powertrain|0||catalyst_efficiency_below_threshold|Catalyst System Efficiency Below Threshold Bank 1|Code P0420 (Catalyst System Efficiency Below Threshold Bank 1) sets when the ECM compares pre- and post-catalyst oxygen sensor switching activity and finds the catalyst (or a specific catalyst brick on multi-brick systems) is no longer storing/releasing oxygen efficiently enough to meet emissions thresholds. The dominant cause is a catalyst that has aged out or been chemically poisoned (oil consumption, coolant leak into the exhaust, or leaded/high-sulfur fuel), though a persistent rich/lean fuel condition or an exhaust leak feeding false switching data can also trigger it.
1736|P0430|Powertrain|0||catalyst_efficiency_below_threshold|Catalyst System Efficiency Below Threshold Bank 2|Code P0430 (Catalyst System Efficiency Below Threshold Bank 2) sets when the ECM compares pre- and post-catalyst oxygen sensor switching activity and finds the catalyst (or a specific catalyst brick on multi-brick systems) is no longer storing/releasing oxygen efficiently enough to meet emissions thresholds. The dominant cause is a catalyst that has aged out or been chemically poisoned (oil consumption, coolant leak into the exhaust, or leaded/high-sulfur fuel), though a persistent rich/lean fuel condition or an exhaust leak feeding false switching data can also trigger it.
1752|P0440|Powertrain|0||evap_small_leak|EVAP System|Code P0440 (EVAP System) sets when the EVAP leak-detection monitor cannot hold vacuum or pressure in the fuel vapor system within its small-leak threshold (typically a 0.020 in. equivalent orifice), including the tighter very-small-leak threshold and the fuel-tank-side/fresh-air-side variants used on natural-vacuum leak detection systems, or when the general EVAP system monitor itself fails. The dominant causes are a loose or worn fuel filler cap, a cracked EVAP hose, or a purge/vent solenoid that no longer seals.
1753|P0441|Powertrain|0||evap_purge_flow_performance|EVAP System Incorrect Purge Flow|Code P0441 (EVAP System Incorrect Purge Flow) sets when the ECM commands EVAP purge and the resulting flow through the purge line — measured by fuel trim shift, a purge flow sensor, or line pressure — is significantly higher or lower than expected for the commanded duty cycle, including the high-load purge line performance variant used on turbocharged/boosted platforms. Causes are a partially clogged purge line or canister restricting flow, a purge solenoid that leaks or does not open fully, or a collapsed/pinched purge hose under vacuum.
1754|P0442|Powertrain|0||evap_small_leak|EVAP System Leak Detected (small leak)|Code P0442 (EVAP System Leak Detected (small leak)) sets when the EVAP leak-detection monitor cannot hold vacuum or pressure in the fuel vapor system within its small-leak threshold (typically a 0.020 in. equivalent orifice), including the tighter very-small-leak threshold and the fuel-tank-side/fresh-air-side variants used on natural-vacuum leak detection systems, or when the general EVAP system monitor itself fails. The dominant causes are a loose or worn fuel filler cap, a cracked EVAP hose, or a purge/vent solenoid that no longer seals.
1758|P0446|Powertrain|0||evap_vent_solenoid_circuit|EVAP System Vent Control Circuit|Code P0446 (EVAP System Vent Control Circuit) sets when the ECM detects an open, shorted, or out-of-range condition while driving the EVAP canister vent solenoid, the normally-open valve that must seal the system to atmosphere during a leak test. Causes are a failed solenoid coil, a corroded or unseated connector, debris/ice jamming the valve, or damaged wiring between the ECM and the solenoid.
1773|P0455|Powertrain|0||evap_large_leak|EVAP System Leak Detected - Large Leak|Code P0455 (EVAP System Leak Detected - Large Leak) sets when the EVAP leak-detection monitor detects a leak far larger than the small-leak threshold (roughly equivalent to a 0.040 in. orifice or bigger), including the fuel-tank-side and fresh-air-side variants on natural-vacuum leak detection systems. This points to a substantially open path to atmosphere: a fuel cap left off or badly damaged, a disconnected or split EVAP hose, or a canister/valve that has failed open.
1774|P0456|Powertrain|0||evap_small_leak|EVAP System Leak Detected (very small leak)|Code P0456 (EVAP System Leak Detected (very small leak)) sets when the EVAP leak-detection monitor cannot hold vacuum or pressure in the fuel vapor system within its small-leak threshold (typically a 0.020 in. equivalent orifice), including the tighter very-small-leak threshold and the fuel-tank-side/fresh-air-side variants used on natural-vacuum leak detection systems, or when the general EVAP system monitor itself fails. The dominant causes are a loose or worn fuel filler cap, a cracked EVAP hose, or a purge/vent solenoid that no longer seals.
1775|P0457|Powertrain|0||evap_small_leak|EVAP System Leak Detected (fuel cap loose/off)|Code P0457 (EVAP System Leak Detected (fuel cap loose/off)) sets when the EVAP leak-detection monitor cannot hold vacuum or pressure in the fuel vapor system within its small-leak threshold (typically a 0.020 in. equivalent orifice), including the tighter very-small-leak threshold and the fuel-tank-side/fresh-air-side variants used on natural-vacuum leak detection systems, or when the general EVAP system monitor itself fails. The dominant causes are a loose or worn fuel filler cap, a cracked EVAP hose, or a purge/vent solenoid that no longer seals.
1944|P0500|Powertrain|0||vehicle_speed_sensor_circuit|Vehicle Speed Sensor A Circuit|Code P0500 (Vehicle Speed Sensor A Circuit) sets when the ECM loses, or receives an implausible, vehicle speed signal from the primary VSS/output-shaft speed source used for speedometer, cruise control, ABS coordination, and shift scheduling. The signal is usually a toothed-wheel/magnetic or Hall-effect pickup, so the common causes are a damaged tone ring, an air-gap or debris problem at the sensor tip, a corroded connector, or chafed sensor wiring shorted to power/ground.
1949|P0505|Powertrain|0||idle_air_control_system|Idle Control System|Code P0505 (Idle Control System) sets when commanded idle RPM (or, on diesel platforms, idle fuel quantity) does not match the ECM's target, or the idle air control actuator's circuit reports an open/out-of-range condition. Root causes are a carbon-fouled IAC valve or throttle bore restricting airflow, an unmetered vacuum/intake air leak that pushes idle high, a sticking throttle plate, or a failed IAC motor/solenoid and its wiring.
1950|P0506|Powertrain|0||idle_air_control_system|Idle Control System RPM - Lower Than Expected|Code P0506 (Idle Control System RPM - Lower Than Expected) sets when commanded idle RPM (or, on diesel platforms, idle fuel quantity) does not match the ECM's target, or the idle air control actuator's circuit reports an open/out-of-range condition. Root causes are a carbon-fouled IAC valve or throttle bore restricting airflow, an unmetered vacuum/intake air leak that pushes idle high, a sticking throttle plate, or a failed IAC motor/solenoid and its wiring.
1951|P0507|Powertrain|0||idle_air_control_system|Idle Control System RPM - Higher Than Expected|Code P0507 (Idle Control System RPM - Higher Than Expected) sets when commanded idle RPM (or, on diesel platforms, idle fuel quantity) does not match the ECM's target, or the idle air control actuator's circuit reports an open/out-of-range condition. Root causes are a carbon-fouled IAC valve or throttle bore restricting airflow, an unmetered vacuum/intake air leak that pushes idle high, a sticking throttle plate, or a failed IAC motor/solenoid and its wiring.
2042|P0562|Powertrain|0||system_voltage_charging_circuit|System Voltage Low|Code P0562 (System Voltage Low) sets when the ECM's own B+ sense circuit measures system voltage outside its normal window or fluctuating erratically, pointing at the vehicle's overall charging/electrical system rather than a single sensor. Causes are a weak or failing battery, a charging system undercharging or overcharging, corroded main power/ground straps, or a parasitic draw combined with marginal alternator output.
2043|P0563|Powertrain|0||system_voltage_charging_circuit|System Voltage High|Code P0563 (System Voltage High) sets when the ECM's own B+ sense circuit measures system voltage outside its normal window or fluctuating erratically, pointing at the vehicle's overall charging/electrical system rather than a single sensor. Causes are a weak or failing battery, a charging system undercharging or overcharging, corroded main power/ground straps, or a parasitic draw combined with marginal alternator output.
2201|P0601|Powertrain|0||pcm_internal_processor_fault|Internal Control Module Memory Checksum Error|Code P0601 (Internal Control Module Memory Checksum Error) sets when a control module's (ECM, PCM, or TCM) internal self-test finds its memory (RAM/ROM/EEPROM/NVRAM/checksum), processor, or an internal signal-processing channel is not functioning correctly. Unlike a sensor circuit fault, this points at the module's own hardware, so the fix path is reflashing the module's software first and, if the fault returns, replacing the module rather than chasing external wiring.
2206|P0606|Powertrain|0||pcm_internal_processor_fault|Control Module Processor|Code P0606 (Control Module Processor) sets when a control module's (ECM, PCM, or TCM) internal self-test finds its memory (RAM/ROM/EEPROM/NVRAM/checksum), processor, or an internal signal-processing channel is not functioning correctly. Unlike a sensor circuit fault, this points at the module's own hardware, so the fix path is reflashing the module's software first and, if the fault returns, replacing the module rather than chasing external wiring.
2456|P0700|Powertrain|0||transmission_control_system_circuit|Transmission Control System (MIL Request)|Code P0700 (Transmission Control System (MIL Request)) sets when the TCM's overall self-check strategy — as opposed to any single sensor — requests the MIL, finds an electrical fault on its main harness, or judges its adaptive shift strategy is out of range. Causes are low or contaminated transmission fluid, a TCM software issue, an aftermarket electrical accessory disrupting the TCM's power/ground, or a wiring fault on the main TCM harness connector.
2461|P0705|Powertrain|0||transmission_range_sensor_circuit|Transmission Range Sensor A Circuit (PRNDL Input)|Code P0705 (Transmission Range Sensor A Circuit (PRNDL Input)) sets when the TCM sees an open, shorted, or implausible signal from the transmission range sensor that reports gear-selector position (Park/Reverse/Neutral/Drive/Low) to the ECM/TCM. Causes are a maladjusted or worn range sensor at the shift shaft, transmission fluid contamination fouling the sensor, or chafed wiring at the connector on the transmission case.
2462|P0706|Powertrain|0||transmission_range_sensor_circuit|Transmission Range Sensor A Circuit Range/Performance|Code P0706 (Transmission Range Sensor A Circuit Range/Performance) sets when the TCM sees an open, shorted, or implausible signal from the transmission range sensor that reports gear-selector position (Park/Reverse/Neutral/Drive/Low) to the ECM/TCM. Causes are a maladjusted or worn range sensor at the shift shaft, transmission fluid contamination fouling the sensor, or chafed wiring at the connector on the transmission case.
2477|P0715|Powertrain|0||input_turbine_shaft_speed_sensor_circuit|Input/Turbine Shaft Speed Sensor A Circuit|Code P0715 (Input/Turbine Shaft Speed Sensor A Circuit) sets when the TCM loses, or receives an implausible, input/turbine shaft speed signal used for shift scheduling and torque converter clutch control. Causes are a damaged reluctor wheel, debris or metal shavings at the sensor tip, a corroded connector, or chafed wiring inside the transmission harness.
2488|P0720|Powertrain|0||output_shaft_speed_sensor_circuit|Output Shaft Speed Sensor Circuit|Code P0720 (Output Shaft Speed Sensor Circuit) sets when the TCM loses, receives an implausible, or loses direction information from the transmission output shaft speed sensor used for shift scheduling and vehicle speed cross-check. Causes are a damaged reluctor wheel, debris at the sensor tip, a corroded connector, or chafed internal transmission wiring.
2521|P0741|Powertrain|0||torque_converter_clutch_circuit|Torque Converter Clutch Circuit Performance/Stuck Off|Code P0741 (Torque Converter Clutch Circuit Performance/Stuck Off) sets when the TCM detects an open circuit, out-of-range current, or a stuck-on/stuck-off performance fault while driving the torque converter clutch solenoid that locks the converter for fuel economy at cruise. Causes are a failed TCC solenoid, contaminated fluid causing the solenoid or clutch plate to stick, or damaged control wiring.
2523|P0743|Powertrain|0||torque_converter_clutch_circuit|Torque Converter Clutch Circuit Electrical|Code P0743 (Torque Converter Clutch Circuit Electrical) sets when the TCM detects an open circuit, out-of-range current, or a stuck-on/stuck-off performance fault while driving the torque converter clutch solenoid that locks the converter for fuel economy at cruise. Causes are a failed TCC solenoid, contaminated fluid causing the solenoid or clutch plate to stick, or damaged control wiring.
2541|P0755|Powertrain|0||shift_solenoid_circuit|Shift Solenoid B|Code P0755 (Shift Solenoid B) sets when the TCM detects an open circuit, out-of-range current, or a stuck-on/stuck-off performance fault while driving one of the transmission's shift solenoids, which route hydraulic pressure to select the current gear. Every solenoid letter shares the same diagnosis path: causes are a failed solenoid coil, sludge/debris jamming the solenoid's spool, or damaged control wiring at the internal valve-body connector.
4374|P2002|Powertrain|0||dpf_efficiency_performance|Particulate Filter Efficiency Below Threshold Bank 1|P2002 (Particulate Filter Efficiency Below Threshold Bank 1) sets when the differential-pressure or soot-model calculation shows the diesel particulate filter is passing more particulate matter than its efficiency threshold allows, or when an abnormal pressure-drop signature indicates a cracked or missing filter substrate. A substrate cracked or melted by an uncontrolled regeneration event, a swapped-in filter that lacks the correct catalytic coating, and a leaking or misrouted differential-pressure sensor hose are the most common causes.
4522|P2096|Powertrain|0||fuel_trim_lean|Post Catalyst Fuel Trim System Too Lean Bank 1|Code P2096 (Post Catalyst Fuel Trim System Too Lean Bank 1) sets when the ECM must add more fuel than the calibrated limit allows to correct a lean condition on the indicated bank. The leading causes are a vacuum or intake air leak downstream of the MAF, a weak fuel pump or clogged filter, or a leaking exhaust manifold gasket confusing the upstream O2 sensor.
